# Table created by editing the following input table: output/ASV_taxonomic_assignments/ASV_tax_assignments.tsv
# Used command:  dependencies/edit_table_basic.py -v -i output/ASV_taxonomic_assignments/ASV_tax_assignments.tsv --column_names_are_in first_data_line --row_names_are_in_column ASV -o output/ASV_taxonomic_assignments/prokaryotic_ASVs.tsv --processing_order f --omit_rows_by_data 'taxonomy:*\;Chloroplast*,*\;Mitochondria*,Unassigned' --include_comments_in_output --save_output_row_names_under_column ASV --save_output_column_names_in last_comment_line
# Generated on: 2025.12.23 10:10:00
#
# ASV	taxonomy
ASV.10093	Bacteria;Bacillota;Clostridia;Clostridiales;Clostridiaceae;Clostridium
ASV.10094	Bacteria;Bacillota;Clostridia;Clostridiales;Clostridiaceae
ASV.10095	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
ASV.10096	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae
ASV.10097	Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter
ASV.10098	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Comamonadaceae
ASV.10099	Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae
ASV.101	Bacteria;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae
ASV.1010	Bacteria;Calditrichota;Calditrichia;Calditrichales;Calditrichaceae;Calorithrix
ASV.10100	Bacteria;Bdellovibrionota;Oligoflexia;Oligoflexales;Oligoflexaceae;Oligoflexus;uncultured bacterium
ASV.10101	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Beijerinckiaceae
ASV.10102	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Lampropedia;Lampropedia sp. BRTC-3
ASV.10103	Bacteria;Bacillota;Bacilli;Bacillales;Planococcaceae
ASV.10104	Bacteria;Actinomycetota;Actinobacteria;Propionibacteriales;Nocardioidaceae;Marmoricola
ASV.10105	Bacteria;Actinomycetota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;Solirubrobacter
ASV.10106	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia
ASV.10107	Bacteria;Actinomycetota;Actinobacteria;Micrococcales;Microbacteriaceae;Agromyces;actinobacterium LH15
ASV.10108	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga;uncultured bacterium
ASV.10109	Bacteria;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae
ASV.1011	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Alcaligenaceae;Saccharedens;uncultured bacterium
ASV.10110	Bacteria;Bacillota;Bacilli;RF39;Incertae Sedis;Incertae Sedis;uncultured bacterium
ASV.10111	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;uncultured bacterium
ASV.10112	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;uncultured bacterium
ASV.10113	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae UCG-001
ASV.10114	Bacteria;Bacillota;Clostridia;Oscillospirales;UCG-010;Incertae Sedis;uncultured bacterium
ASV.10115	Bacteria;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NK4A136 group;uncultured bacterium
ASV.10116	Bacteria;Bacillota;Clostridia;Oscillospirales;Ruminococcaceae
ASV.10117	Bacteria;Bacillota;Clostridia;Oscillospirales;Oscillospiraceae;Incertae Sedis;uncultured bacterium
