# Table created by editing the following input table: output/ASV_taxonomic_assignments/ASV_tax_assignments.tsv
# Used command:  dependencies/edit_table_basic.py -v -i output/ASV_taxonomic_assignments/ASV_tax_assignments.tsv --column_names_are_in first_data_line --row_names_are_in_column ASV -o output/ASV_taxonomic_assignments/prokaryotic_ASVs.tsv --processing_order f --omit_rows_by_data 'taxonomy:*\;Chloroplast*,*\;Mitochondria*,Unassigned' --include_comments_in_output --save_output_row_names_under_column ASV --save_output_column_names_in last_comment_line
# Generated on: 2025.12.23 10:10:00
#
# ASV	taxonomy
ASV.27735	Bacteria;Myxococcota;bacteriap25;Incertae Sedis;Incertae Sedis;Incertae Sedis
ASV.27736	Bacteria;Thermodesulfobacteriota;Desulfuromonadia;Geobacterales;Geobacteraceae;Pelotalea;uncultured bacterium
ASV.27737	Bacteria;Actinomycetota;Thermoleophilia;Gaiellales;Incertae Sedis;Incertae Sedis;uncultured bacterium
ASV.27738	Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Pir4 lineage;uncultured bacterium
ASV.27739	Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;Incertae Sedis
ASV.2774	Bacteria;Bacillota;Clostridia;Oscillospirales;Oscillospiraceae;UCG-005;uncultured bacterium
ASV.27740	Bacteria;Planctomycetota;Pla4 lineage;Incertae Sedis;Incertae Sedis;Incertae Sedis
ASV.27741	Bacteria;Planctomycetota;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;Urania-1B-19 marine sediment group
ASV.27742	Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae
ASV.27743	Bacteria;Planctomycetota;Phycisphaerae;Phycisphaerales;Phycisphaeraceae
ASV.27744	Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10;uncultured bacterium
ASV.27745	Bacteria;Acidobacteriota;Subgroup 22;Incertae Sedis;Incertae Sedis;Incertae Sedis
ASV.27746	Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Incertae Sedis
ASV.27747	Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Pirellula
ASV.27748	Bacteria;Pseudomonadota;Gammaproteobacteria;Nitrosococcales;Nitrosococcaceae
ASV.27749	Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Mariniblastus
ASV.2775	Bacteria;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Rhodovarius;uncultured bacterium
ASV.27750	Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Bremerella
ASV.27751	Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Incertae Sedis
ASV.27752	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudohongiellaceae;Pseudohongiella
ASV.27753	Bacteria;Gemmatimonadota;BD2-11 terrestrial group;Incertae Sedis;Incertae Sedis;Incertae Sedis;uncultured bacterium
ASV.27754	Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Oceanicola
ASV.27755	Bacteria;Acidobacteriota;Subgroup 22;Incertae Sedis;Incertae Sedis;Incertae Sedis
ASV.27756	Bacteria;Pseudomonadota;Gammaproteobacteria;SZB50;Incertae Sedis;Incertae Sedis
ASV.27757	Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10
ASV.27758	Bacteria;NB1-j;Incertae Sedis;Incertae Sedis;Incertae Sedis;Incertae Sedis
ASV.27759	Bacteria;Acidobacteriota;Subgroup 22;Incertae Sedis;Incertae Sedis;Incertae Sedis
ASV.2776	Bacteria;Acidobacteriota;Acidobacteriae;Bryobacterales;Bryobacteraceae;Paludibaculum;uncultured bacterium
ASV.27760	Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10
ASV.27761	Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10
ASV.27762	Bacteria;Pseudomonadota;Gammaproteobacteria;Arenicellales;Arenicellaceae
ASV.27763	Bacteria;Acidobacteriota;Subgroup 22;Incertae Sedis;Incertae Sedis;Incertae Sedis
ASV.27764	Bacteria;Acidobacteriota;Subgroup 22;Incertae Sedis;Incertae Sedis;Incertae Sedis
ASV.27765	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;KF-JG30-B3;Incertae Sedis
ASV.27766	Bacteria;Chloroflexota;Anaerolineae;Ardenticatenales;Incertae Sedis;Incertae Sedis
ASV.27767	Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10
ASV.27768	Bacteria
ASV.27769	Archaea;Thermoproteota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae
ASV.2777	Bacteria;Cyanobacteriota;Cyanobacteriia;Pseudanabaenales;Pseudanabaenaceae;Incertae Sedis;uncultured cyanobacterium
ASV.27770	Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae
ASV.27771	Bacteria;Acidobacteriota;Subgroup 22;Incertae Sedis;Incertae Sedis;Incertae Sedis
ASV.27772	Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Incertae Sedis
ASV.27773	Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Aquibacter;uncultured bacterium
ASV.27774	Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae
ASV.27775	Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae
ASV.27776	Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Mariniblastus
ASV.27777	Bacteria;Pseudomonadota;Gammaproteobacteria;Steroidobacterales;Woeseiaceae;Woeseia;uncultured bacterium
ASV.27778	Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae;Blastocatella;uncultured Acidobacteria bacterium
ASV.27779	Bacteria;Acidobacteriota;Subgroup 22;Incertae Sedis;Incertae Sedis;Incertae Sedis
ASV.2778	Bacteria;Armatimonadota;Incertae Sedis;Incertae Sedis;Incertae Sedis;Incertae Sedis;uncultured Firmicutes bacterium
ASV.27780	Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10
ASV.27781	Bacteria;Gemmatimonadota;BD2-11 terrestrial group;Incertae Sedis;Incertae Sedis;Incertae Sedis;uncultured bacterium
ASV.27782	Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae
ASV.27783	Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10
ASV.27784	Archaea;Thermoproteota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosopumilus;uncultured archaeon
ASV.27785	Bacteria;Planctomycetota;BD7-11;Incertae Sedis;Incertae Sedis;Incertae Sedis
ASV.27786	Bacteria;Acidobacteriota;Subgroup 22;Incertae Sedis;Incertae Sedis;Incertae Sedis
ASV.27787	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudohongiellaceae;Pseudohongiella
ASV.27788	Bacteria;Pseudomonadota;Gammaproteobacteria;Arenicellales;Arenicellaceae
ASV.27789	Bacteria;Planctomycetota;Phycisphaerae;Phycisphaerales;Phycisphaeraceae
ASV.2779	Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Raineyaceae;Raineya
ASV.27790	Bacteria;Acidobacteriota;Subgroup 22;Incertae Sedis;Incertae Sedis;Incertae Sedis
ASV.27791	Bacteria;Planctomycetota;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;Urania-1B-19 marine sediment group
ASV.27792	Bacteria;Acidobacteriota;Subgroup 22;Incertae Sedis;Incertae Sedis;Incertae Sedis
ASV.27793	Bacteria;NB1-j;Incertae Sedis;Incertae Sedis;Incertae Sedis;Incertae Sedis
ASV.27794	Bacteria;Acidobacteriota;Subgroup 22;Incertae Sedis;Incertae Sedis;Incertae Sedis
ASV.27795	Bacteria;Pseudomonadota;Gammaproteobacteria;Steroidobacterales;Woeseiaceae;Woeseia;uncultured gamma proteobacterium
ASV.27796	Bacteria;Actinomycetota;Acidimicrobiia;Microtrichales;Microtrichaceae;Sva0996 marine group
ASV.27797	Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Crocinitomicaceae
ASV.27798	Bacteria;Acidobacteriota;Subgroup 22;Incertae Sedis;Incertae Sedis;Incertae Sedis
ASV.27799	Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10
ASV.278	Bacteria;Bacillota;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Allobaculum
ASV.2780	Bacteria;Pseudomonadota;Gammaproteobacteria;Steroidobacterales;Steroidobacteraceae;Incertae Sedis
ASV.27800	Bacteria;Pseudomonadota;Gammaproteobacteria;Arenicellales;Arenicellaceae
ASV.27801	Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae
ASV.27802	Bacteria;Acidobacteriota;Subgroup 22;Incertae Sedis;Incertae Sedis;Incertae Sedis
ASV.27803	Bacteria;NB1-j;Incertae Sedis;Incertae Sedis;Incertae Sedis;Incertae Sedis
ASV.27804	Bacteria;Pseudomonadota;Gammaproteobacteria
ASV.27805	Bacteria;Pseudomonadota;Gammaproteobacteria;SZB50;Incertae Sedis;Incertae Sedis
ASV.27806	Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Paracoccus
ASV.27807	Bacteria;Acidobacteriota;Blastocatellia
ASV.27808	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rubrivivax;uncultured bacterium
ASV.27809	Bacteria;Gemmatimonadota;Gemmatimonadia;Gemmatimonadales;Gemmatimonadaceae;Incertae Sedis
ASV.2781	Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Incertae Sedis;uncultured planctomycete
ASV.27810	Bacteria;Actinomycetota;Thermoleophilia;Gaiellales;Gaiellaceae;Gaiella;uncultured bacterium
ASV.27811	Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;Vicinamibacteraceae;Incertae Sedis
ASV.27812	Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;Gemmata
ASV.27813	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiales Incertae Sedis;Incertae Sedis;uncultured bacterium
ASV.27814	Bacteria;Acidobacteriota;Acidobacteriae;Terriglobales;Acidobacteriaceae (Subgroup 1);Occallatibacter;bacterium Ellin5239
ASV.27815	Bacteria;Acidobacteriota;Acidobacteriae;Terriglobales;Acidobacteriaceae (Subgroup 1)
ASV.27816	Bacteria;Acidobacteriota;Acidobacteriae
ASV.27817	Bacteria;Planctomycetota;Planctomycetes;Isosphaerales;Isosphaeraceae
ASV.27818	Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Rhodanobacteraceae;Rhodanobacter;uncultured bacterium
ASV.27819	Bacteria;Pseudomonadota;Alphaproteobacteria;Micropepsales;Micropepsaceae;Incertae Sedis;uncultured bacterium
ASV.2782	Bacteria;Ignavibacteriota;Ignavibacteria;Ignavibacteriales
ASV.27820	Bacteria;Latescibacterota;Incertae Sedis;Incertae Sedis;Incertae Sedis;Incertae Sedis;uncultured bacterium
ASV.27821	Bacteria;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Incertae Sedis;uncultured bacterium
ASV.27822	Bacteria;Acidobacteriota;Acidobacteriae;Terriglobales
ASV.27823	Bacteria;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Incertae Sedis;uncultured bacterium
ASV.27824	Bacteria;Acidobacteriota;Acidobacteriae;Bryobacterales;Bryobacteraceae;Paludibaculum;uncultured Acidobacteria bacterium
ASV.27825	Bacteria;Acidobacteriota;Holophagae;Subgroup 7;Incertae Sedis;Incertae Sedis;uncultured candidate division OS-K bacterium
ASV.27826	Bacteria
ASV.27827	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Nitrosomonadaceae;Ellin6067;uncultured bacterium
ASV.27828	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;A21b;Incertae Sedis
ASV.27829	Bacteria;Planctomycetota;Planctomycetes;Isosphaerales;Isosphaeraceae
ASV.2783	Archaea
ASV.27830	Bacteria;Chloroflexota;Ktedonobacteria;C0119;Incertae Sedis;Incertae Sedis
ASV.27831	Bacteria;Pseudomonadota;Alphaproteobacteria;Micropepsales;Micropepsaceae;Incertae Sedis;uncultured bacterium
ASV.27832	Bacteria;Gemmatimonadota;Gemmatimonadia;Gemmatimonadales;Gemmatimonadaceae;Incertae Sedis
ASV.27833	Bacteria;Pseudomonadota;Alphaproteobacteria;Micropepsales;Micropepsaceae;Incertae Sedis;uncultured bacterium
ASV.27834	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Nitrosomonadaceae;MND1;uncultured bacterium
ASV.27835	Bacteria;Thermodesulfobacteriota;Desulfuromonadia;Geobacterales;Geobacteraceae
ASV.27836	Bacteria;Verrucomicrobiota;Verrucomicrobiia;Pedosphaerales;Pedosphaeraceae
ASV.27837	Bacteria;Acidobacteriota;Acidobacteriae;Terriglobales;Incertae Sedis;Incertae Sedis
ASV.27838	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;A21b;Incertae Sedis
ASV.27839	Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Microscillaceae;Incertae Sedis;uncultured bacterium
ASV.2784	Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;Gimesiaceae;Incertae Sedis;uncultured bacterium
ASV.27840	Bacteria;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Incertae Sedis
ASV.27841	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Nitrosomonadaceae;Ellin6067;uncultured bacterium
ASV.27842	Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Rhodanobacteraceae;Rhodanobacter;uncultured bacterium
ASV.27843	Bacteria;Acidobacteriota;Acidobacteriae;Terriglobales
ASV.27844	Bacteria;Acidobacteriota;Acidobacteriae;Terriglobales;Incertae Sedis;Incertae Sedis
ASV.27845	Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae
ASV.27846	Bacteria;Pseudomonadota;Alphaproteobacteria;Reyranellales;Reyranellaceae;Reyranella;uncultured bacterium
ASV.27847	Bacteria;Actinomycetota;Actinobacteria;Micromonosporales;Micromonosporaceae;Actinoplanes;Actinoplanes tereljensis
ASV.27848	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;SC-I-84;Incertae Sedis;uncultured bacterium
ASV.27849	Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;Gemmata
ASV.2785	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Comamonadaceae
ASV.27850	Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Panacibacter;uncultured bacterium
ASV.27851	Bacteria;Actinomycetota;Actinobacteria;Micromonosporales;Micromonosporaceae
ASV.27852	Bacteria;Actinomycetota;MB-A2-108;Incertae Sedis;Incertae Sedis;Incertae Sedis
ASV.27853	Bacteria;Acidobacteriota;Acidobacteriae;Bryobacterales;Bryobacteraceae;Bryobacter;metagenome
ASV.27854	Bacteria;Planctomycetota;Planctomycetes;Isosphaerales;Isosphaeraceae
ASV.27855	Bacteria;Thermodesulfobacteriota;Desulfuromonadia;Geobacterales;Geobacteraceae;Pelotalea;uncultured bacterium
ASV.27856	Bacteria;Planctomycetota;Planctomycetes;Isosphaerales;Isosphaeraceae
ASV.27857	Bacteria;Actinomycetota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Actinomycetospora;Actinomycetospora chiangmaiensis
ASV.27858	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Xanthobacteraceae;Incertae Sedis
ASV.27859	Bacteria;Actinomycetota;Thermoleophilia;Gaiellales
ASV.2786	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;SAR86 clade;Incertae Sedis
ASV.27860	Bacteria;Actinomycetota
ASV.27861	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae
ASV.27862	Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae
ASV.27863	Bacteria;Acidobacteriota;Acidobacteriae;Terriglobales;Incertae Sedis;Incertae Sedis
ASV.27864	Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;Incertae Sedis;Incertae Sedis
ASV.27865	Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;Gemmata
ASV.27866	Bacteria;Planctomycetota;Planctomycetes;Isosphaerales;Isosphaeraceae
ASV.27867	Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium
ASV.27868	Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;Incertae Sedis
ASV.27869	Bacteria;Myxococcota;Polyangiia;Haliangiales;Haliangiaceae;Incertae Sedis
ASV.2787	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;SAR86 clade;Incertae Sedis
ASV.27870	Bacteria;Acidobacteriota;Acidobacteriae;Solibacterales;Solibacteraceae;Candidatus Solibacter;uncultured bacterium
ASV.27871	Bacteria;Planctomycetota;Planctomycetes;Isosphaerales;Isosphaeraceae
ASV.27872	Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Segetibacter;uncultured bacterium
ASV.27873	Bacteria;Patescibacteria;ABY1;Candidatus Falkowbacteria;Incertae Sedis;Incertae Sedis
ASV.27874	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae;Incertae Sedis;uncultured organism
ASV.27875	Archaea;Altiarchaeota;Altiarchaeia;Altiarchaeales;Altiarchaeaceae;Candidatus Altiarchaeum;uncultured archaeon
ASV.27876	Archaea;Nanoarchaeota;Nanoarchaeia;Woesearchaeales;Incertae Sedis;SCGC AAA286-E23
ASV.27877	Archaea;Nanoarchaeota;Nanoarchaeia;Woesearchaeales;Incertae Sedis;Incertae Sedis;uncultured crenarchaeote
ASV.27878	Archaea
ASV.27879	Archaea;Methanobacteriota;Thermococci;Methanofastidiosales;Incertae Sedis;Incertae Sedis;uncultured archaeon
ASV.2788	Bacteria;Pseudomonadota;Alphaproteobacteria;Pelagibacterales;Clade II;Incertae Sedis
ASV.27880	Archaea;Nanoarchaeota;Nanoarchaeia;Woesearchaeales;Incertae Sedis
ASV.27881	Archaea;Nanoarchaeota;Nanoarchaeia;Pacearchaeales;Incertae Sedis
ASV.27882	Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Lentimicrobiaceae;Incertae Sedis
ASV.27883	Bacteria;Cyanobacteriota;Vampirivibrionia;Gastranaerophilales;Gastranaerophilaceae;Incertae Sedis
ASV.27884	Bacteria;LCP-89;Incertae Sedis;Incertae Sedis;Incertae Sedis;Incertae Sedis;uncultured bacterium
ASV.27885	Bacteria;Bacillota;Clostridia;Lachnospirales
ASV.27886	Bacteria;Calditrichota;Calditrichia;Calditrichales;Calditrichaceae;JdFR-76;uncultured bacterium
ASV.27887	Bacteria;Bdellovibrionota;Bacteriovoracia;Bacteriovoracales;Bacteriovoracaceae
ASV.27888	Bacteria;Bdellovibrionota;Oligoflexia;Oligoflexales;Oligoflexaceae;Incertae Sedis
ASV.27889	Bacteria;Bdellovibrionota;Bacteriovoracia;Bacteriovoracales;Bacteriovoracaceae
ASV.2789	Bacteria;Pseudomonadota;Alphaproteobacteria;Pelagibacterales;Clade I
ASV.27890	Bacteria;Pseudomonadota;Gammaproteobacteria;Incertae Sedis;Incertae Sedis;Incertae Sedis;uncultured bacterium
ASV.27891	Bacteria;Verrucomicrobiota;Omnitrophia;Omnitrophales;Omnitrophaceae;Candidatus Omnitrophus
ASV.27892	Bacteria;Planctomycetota;BD7-11;Incertae Sedis;Incertae Sedis;Incertae Sedis;uncultured organism
ASV.27893	Archaea;Nanoarchaeota;Nanoarchaeia;Woesearchaeales;Incertae Sedis;Incertae Sedis;uncultured crenarchaeote
ASV.27894	Archaea;Nanoarchaeota;Nanoarchaeia;Woesearchaeales;Incertae Sedis;Incertae Sedis
ASV.27895	Archaea;Nanoarchaeota;Nanoarchaeia;Woesearchaeales;Incertae Sedis;Incertae Sedis
ASV.27896	Bacteria;Verrucomicrobiota;Verrucomicrobiia;Opitutales;Incertae Sedis;Incertae Sedis;uncultured bacterium
ASV.27897	Bacteria;Planctomycetota;OM190;Incertae Sedis;Incertae Sedis;Incertae Sedis
ASV.27898	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;SB-5;Incertae Sedis
ASV.27899	Bacteria
ASV.279	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales
ASV.2790	Bacteria;Pseudomonadota;Gammaproteobacteria;Steroidobacterales;Woeseiaceae;Woeseia;uncultured bacterium
ASV.27900	Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Incertae Sedis;Incertae Sedis;uncultured bacterium
ASV.27901	Bacteria
ASV.27902	Bacteria;Pseudomonadota;Gammaproteobacteria;EC3;Incertae Sedis;Incertae Sedis;uncultured gamma proteobacterium
ASV.27903	Bacteria;Candidatus Eremiobacterota;Eremiobacteria;Incertae Sedis;Incertae Sedis;Incertae Sedis;bacterium ADurb.Bin236
ASV.27904	Bacteria;Patescibacteria;Gracilibacteria;Absconditabacteriales (SR1);Incertae Sedis;Incertae Sedis
ASV.27905	Bacteria;Verrucomicrobiota;Omnitrophia;Omnitrophales
ASV.27906	Bacteria;Verrucomicrobiota;Omnitrophia;Omnitrophales;Incertae Sedis;Incertae Sedis
ASV.27907	Bacteria;Thermodesulfobacteriota;Desulfobacteria;Desulfatiglandales;Desulfatiglandaceae;Desulfatiglans;uncultured bacterium
ASV.27908	Archaea;Nanoarchaeota;Nanoarchaeia;Pacearchaeales;Incertae Sedis
ASV.27909	Bacteria;Patescibacteria;Gracilibacteria;JGI 0000069-P22;Incertae Sedis;Incertae Sedis;uncultured Candidatus Gracilibacteria bacterium
ASV.2791	Bacteria;Pseudomonadota;Alphaproteobacteria;Reyranellales;Reyranellaceae;Reyranella;uncultured bacterium
ASV.27910	Archaea;Nanoarchaeota;Nanoarchaeia;Woesearchaeales;Incertae Sedis;Incertae Sedis;uncultured euryarchaeote
ASV.27911	Bacteria;Sumerlaeota;Sumerlaeia;Incertae Sedis;Incertae Sedis;Incertae Sedis
ASV.27912	Bacteria;Pseudomonadota;Alphaproteobacteria;Thalassobaculales;Incertae Sedis;Incertae Sedis
ASV.27913	Bacteria;Myxococcota;Polyangiia;Nannocystales;Nannocystaceae;Incertae Sedis;uncultured delta proteobacterium
ASV.27914	Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;Aureispira
ASV.27915	Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae
ASV.27916	Bacteria;Pseudomonadota;Gammaproteobacteria;Incertae Sedis;Incertae Sedis;Incertae Sedis;uncultured bacterium
ASV.27917	Bacteria;SAR324 clade(Marine group B);Incertae Sedis;Incertae Sedis;Incertae Sedis
ASV.27918	Bacteria;Hydrogenedentes;Hydrogenedentia;Hydrogenedentiales;Hydrogenedensaceae;Incertae Sedis
ASV.27919	Bacteria;Patescibacteria;Parcubacteria;GWA2-38-13b;Incertae Sedis;Incertae Sedis
ASV.2792	Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;Incertae Sedis;Incertae Sedis
ASV.27920	Bacteria;Thermodesulfobacteriota;Desulfuromonadia;Bradymonadales;Incertae Sedis;SKP-2;uncultured bacterium
ASV.27921	Bacteria;Sumerlaeota;Sumerlaeia;Sumerlaeales;Sumerlaeaceae;Sumerlaea;uncultured bacterium
ASV.27922	Bacteria;Thermodesulfobacteriota;Desulfovibrionia;Desulfovibrionales;Desulfonatronaceae;Desulfonatronum;Desulfonatronum thiodismutans
ASV.27923	Bacteria;Bacillota;Dethiobacteria;Dethiobacterales;Dethiobacteraceae
ASV.27924	Bacteria;Verrucomicrobiota;Kiritimatiellia;WCHB1-41;Incertae Sedis;Incertae Sedis;uncultured organism
ASV.27925	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;ML635J-40 aquatic group;Incertae Sedis
ASV.27926	Bacteria;Bacillota;Dethiobacteria;Dethiobacterales;Dethiobacteraceae
ASV.27927	Bacteria;Bacillota;Dethiobacteria;Dethiobacterales;Dethiobacteraceae
ASV.27928	Bacteria;Bacillota;Thermoanaerobacteria;Thermoanaerobacterales;SRB2;Incertae Sedis;uncultured Firmicutes bacterium
ASV.27929	Bacteria;Bacillota;Dethiobacteria;Dethiobacterales;Dethiobacteraceae;Incertae Sedis
ASV.2793	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Comamonadaceae
ASV.27930	Bacteria;Planctomycetota;Phycisphaerae;MSBL9;KCLunmb-38-53;Incertae Sedis;uncultured bacterium
ASV.27931	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidetes BD2-2;Incertae Sedis;uncultured bacterium
ASV.27932	Bacteria;Bacillota;Dethiobacteria;Dethiobacterales;Dethiobacteraceae
ASV.27933	Bacteria;Bacillota;Dethiobacteria;Dethiobacterales;Dethiobacteraceae
ASV.27934	Bacteria;Bacillota;Dethiobacteria;Dethiobacterales;Dethiobacteraceae
ASV.27935	Bacteria
ASV.27936	Bacteria;Bacillota;Dethiobacteria;Dethiobacterales;Dethiobacteraceae;Dethiobacter
ASV.27937	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;ML635J-40 aquatic group;Incertae Sedis
ASV.27938	Bacteria;Bacillota;Bacilli;Izemoplasmatales;Izemoplasmataceae;Izimaplasma
ASV.27939	Bacteria;Bacillota;Dethiobacteria;Dethiobacterales;Dethiobacteraceae;Dethiobacter
ASV.2794	Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;Vicinamibacteraceae;Incertae Sedis;uncultured Acidobacteriales bacterium
ASV.27940	Bacteria;Thermodesulfobacteriota;Desulfovibrionia;Desulfovibrionales;Desulfonatronaceae;Desulfonatronum;Desulfonatronum thiodismutans
ASV.27941	Bacteria;Thermodesulfobacteriota;Desulfovibrionia;Desulfovibrionales;Desulfonatronaceae;Desulfonatronum
ASV.27942	Bacteria;Verrucomicrobiota;Kiritimatiellia;WCHB1-41;Incertae Sedis;Incertae Sedis;uncultured organism
ASV.27943	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;ML635J-40 aquatic group;Incertae Sedis
ASV.27944	Bacteria;Thermodesulfobacteriota;Desulfovibrionia;Desulfovibrionales;Desulfonatronaceae;Desulfonatronum;Desulfonatronum thiodismutans
ASV.27945	Bacteria;Bacillota;Dethiobacteria;Dethiobacterales;Dethiobacteraceae
ASV.27946	Bacteria;Bacillota;D8A-2;Incertae Sedis;Incertae Sedis;Incertae Sedis
ASV.27947	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae
ASV.27948	Bacteria;Thermodesulfobacteriota;Desulfovibrionia;Desulfovibrionales;Desulfonatronaceae;Desulfonatronum
ASV.27949	Bacteria;Verrucomicrobiota;Lentisphaeria;Oligosphaerales;Lenti-02;Incertae Sedis
