sample_type	Trait	FAPROTAX v1	FAPROTAX2-mapper
Hot spring	dark_sulfur_oxidation		79
Hot spring	human_gut		7
Hot spring	human_pathogens_pneumonia		1
Hot spring	hydrocarbon_degradation		14
Hot spring	invertebrate_parasites		1
Hot spring	mammal_gut		10
Hot spring	methanogenesis_by_CO2_reduction_with_H2		23
Hot spring	methanol_oxidation		139
Hot spring	methylotrophy		40
Hot spring	nitrification		6
Hot spring	nitrite_respiration		173
Hot spring	nitrogen_fixation		143
Hot spring	plant_pathogen		8
Hot spring	reductive_acetogenesis		5
Hot spring	sulfite_respiration		467
Hot spring	sulfur_respiration		479
Hypersaline lagoon sediment	aerobic_chemoheterotrophy	59	623
Hypersaline lagoon sediment	animal_parasites_or_symbionts	1	80
Hypersaline lagoon sediment	anoxygenic_photoautotrophy	4	21
Hypersaline lagoon sediment	anoxygenic_photoautotrophy_S_oxidizing	4	113
Hypersaline lagoon sediment	chemoheterotrophy	339	1306
Hypersaline lagoon sediment	dark_hydrogen_oxidation	34	831
Hypersaline lagoon sediment	dark_oxidation_of_sulfur_compounds	3	41
Hypersaline lagoon sediment	dark_sulfide_oxidation	2	40
Hypersaline lagoon sediment	dark_sulfur_oxidation	2	103
Hypersaline lagoon sediment	dark_thiosulfate_oxidation	1	39
Hypersaline lagoon sediment	fermentation	83	695
Hypersaline lagoon sediment	hydrocarbon_degradation	1	14
Hypersaline lagoon sediment	hydrogenotrophic_methanogenesis	3	10
Hypersaline lagoon sediment	intracellular_parasites	9	18
Hypersaline lagoon sediment	iron_respiration	1	2
Hypersaline lagoon sediment	methanogenesis	3	77
Hypersaline lagoon sediment	methanogenesis_by_CO2_reduction_with_H2	2	268
Hypersaline lagoon sediment	methanogenesis_by_disproportionation_of_methyl_groups	1	5
Hypersaline lagoon sediment	methanogenesis_by_reduction_of_methyl_compounds_with_H2	1	2
Hypersaline lagoon sediment	methylotrophy	1	26
Hypersaline lagoon sediment	nitrogen_fixation	2	83
Hypersaline lagoon sediment	oxygenic_photoautotrophy	39	40
Hypersaline lagoon sediment	photoautotrophy	43	68
Hypersaline lagoon sediment	phototrophy	43	207
Hypersaline lagoon sediment	respiration_of_sulfur_compounds	111	737
Hypersaline lagoon sediment	sulfate_respiration	111	96
Hypersaline lagoon sediment	sulfur_respiration	1	885
Hypersaline lagoon sediment	ureolysis	1	300
Hypersaline lagoon sediment	acetoclastic_methanogenesis		1
Hypersaline lagoon sediment	aerobic_ammonia_oxidation		54
Hypersaline lagoon sediment	aerobic_anoxygenic_phototrophy		17
Hypersaline lagoon sediment	aerobic_nitrite_oxidation		2
Hypersaline lagoon sediment	aromatic_hydrocarbon_degradation		12
Hypersaline lagoon sediment	cellulolysis		168
Hypersaline lagoon sediment	chitinolysis		8
Hypersaline lagoon sediment	chlorate_reducers		12
Hypersaline lagoon sediment	dark_iron_oxidation		2
Hypersaline lagoon sediment	fumarate_respiration		1
Hypersaline lagoon sediment	human_associated		32
Hypersaline lagoon sediment	human_gut		133
Hypersaline lagoon sediment	human_pathogens_all		6
Hypersaline lagoon sediment	human_pathogens_pneumonia		4
Hypersaline lagoon sediment	invertebrate_parasites		3
Hypersaline lagoon sediment	mammal_gut		134
Hypersaline lagoon sediment	methanol_oxidation		157
Hypersaline lagoon sediment	methanotrophy		13
Hypersaline lagoon sediment	nitrate_reduction		611
Hypersaline lagoon sediment	nitrate_respiration		157
Hypersaline lagoon sediment	nitrification		54
Hypersaline lagoon sediment	nitrite_respiration		165
Hypersaline lagoon sediment	nitrogen_respiration		104
Hypersaline lagoon sediment	photoheterotrophy		72
