accession	species	domain	phylum	class	order	family	genus	taxonomy	methanotrophy.value	methanogenesis.value	methanogenesis_by_disproportionation_of_methyl_groups.value	acetoclastic_methanogenesis.value	methanogenesis_using_formate.value	methanogenesis_by_CO2_reduction_with_H2.value	methanogenesis_by_reduction_of_methyl_compounds_with_H2.value	hydrogenotrophic_methanogenesis.value	methanol_oxidation.value	methylotrophy.value	aerobic_ammonia_oxidation.value	aerobic_nitrite_oxidation.value	nitrification.value	sulfate_respiration.value	sulfur_respiration.value	dark_sulfite_oxidation.value	sulfite_respiration.value	thiosulfate_respiration.value	respiration_of_sulfur_compounds.value	arsenate_detoxification.value	arsenate_respiration.value	dissimilatory_arsenate_reduction.value	arsenite_oxidation_detoxification.value	arsenite_oxidation_energy_yielding.value	dissimilatory_arsenite_oxidation.value	anammox.value	nitrate_denitrification.value	nitrite_denitrification.value	nitrous_oxide_denitrification.value	chitinolysis.value	knallgas_bacteria.value	dark_hydrogen_oxidation.value	nitrogen_fixation.value	nitrate_ammonification.value	nitrite_ammonification.value	nitrite_respiration.value	gelatin_degradation.value	cellulolysis.value	xylanolysis.value	dark_sulfide_oxidation.value	dark_sulfur_oxidation.value	dark_thiosulfate_oxidation.value	dark_oxidation_of_sulfur_compounds.value	manganese_oxidation.value	manganese_respiration.value	ligninolysis.value	fermentation.value	lactic_acid_fermentation.value	alcohol_fermentation.value	aerobic_chemoheterotrophy.value	invertebrate_parasites.value	human_pathogens_septicemia.value	human_pathogens_pneumonia.value	human_pathogens_nosocomia.value	human_pathogens_meningitis.value	human_pathogens_gastroenteritis.value	human_pathogens_diarrhea.value	human_pathogens_all.value	fish_parasites.value	human_gut.value	human_associated.value	mammal_gut.value	animal_parasites_or_symbionts.value	plant_pathogen.value	oil_bioremediation.value	aromatic_hydrocarbon_degradation.value	aromatic_compound_degradation.value	aliphatic_non_methane_hydrocarbon_degradation.value	hydrocarbon_degradation.value	dark_iron_oxidation.value	iron_oxidation.value	iron_respiration.value	nitrate_respiration.value	nitrate_reduction.value	nitrogen_respiration.value	fumarate_respiration.value	intracellular_parasites.value	chlorate_reducers.value	predatory_or_exoparasitic.value	anoxygenic_photoautotrophy_H2_oxidizing.value	anoxygenic_photoautotrophy_S_oxidizing.value	anoxygenic_photoautotrophy_Fe_oxidizing.value	anoxygenic_photoautotrophy.value	oxygenic_photoautotrophy.value	photoautotrophy.value	aerobic_anoxygenic_phototrophy.value	photoheterotrophy.value	phototrophy.value	plastic_degradation.value	ureolysis.value	reductive_acetogenesis.value	acetate_oxidation.value	lactate_oxidation.value	chemoheterotrophy.value	alginate_degradation.value	pectin_degradation.value	collagen_degradation.value	anaerobic_chemoheterotrophy.value	obligate_anaerobes.value	facultative_anaerobes.value	sulfur_reduction.value
HG316991.1.1525	Desulfosporosinus_acididurans	Bacteria	Bacillota	Desulfitobacteriia	Desulfitobacteriales	Desulfitobacteriaceae	Desulfosporosinus	Bacteria;Bacillota;Desulfitobacteriia;Desulfitobacteriales;Desulfitobacteriaceae;Desulfosporosinus;Desulfosporosinus acididurans	U	A	A	A	A	A	A	A	P	P	A	A	A	P	P	U	A	P	P	U	U	U	U	U	U	U	P	U	U	U	A	U	U	U	U	P	U	U	U	U	U	U	U	U	U	U	P	U	U	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	P	P	P	A	U	U	U	U	U	U	U	A	U	A	U	U	U	U	U	A	P	P	U	U	U	U	P	A	P
AJ493051.1.1532	Desulfosporosinus_auripigmenti	Bacteria	Bacillota	Desulfitobacteriia	Desulfitobacteriales	Desulfitobacteriaceae	Desulfosporosinus	Bacteria;Bacillota;Desulfitobacteriia;Desulfitobacteriales;Desulfitobacteriaceae;Desulfosporosinus;Desulfosporosinus auripigmenti	U	A	A	A	A	A	A	A	U	U	A	A	A	P	U	U	P	P	P	U	P	P	U	U	U	U	U	U	U	U	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	U	U	U	P	U	U	U	U	U	U	U	A	U	A	U	U	U	U	U	U	P	P	U	U	U	U	P	A	U
JF810424.1.1533	Desulfosporosinus_burensis	Bacteria	Bacillota	Desulfitobacteriia	Desulfitobacteriales	Desulfitobacteriaceae	Desulfosporosinus	Bacteria;Bacillota;Desulfitobacteriia;Desulfitobacteriales;Desulfitobacteriaceae;Desulfosporosinus;Desulfosporosinus burensis	U	A	A	A	A	A	A	A	U	U	U	U	U	P	P	U	P	P	P	U	U	U	U	U	U	U	A	A	U	U	U	U	U	U	U	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	A	U	U	U	U	U	A	A	A	A	A	A	U	U	U	U	U	U	A	P	P	U	U	U	U	U	U	P
Y11571.1.1492	Desulfosporosinus_hippei	Bacteria	Bacillota	Desulfitobacteriia	Desulfitobacteriales	Desulfitobacteriaceae	Desulfosporosinus	Bacteria;Bacillota;Desulfitobacteriia;Desulfitobacteriales;Desulfitobacteriaceae;Desulfosporosinus;Desulfosporosinus hippei	U	A	A	A	A	A	A	A	U	U	U	U	U	P	A	U	A	P	P	U	U	U	U	U	U	U	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	A	A	U	A	U	U	U	U	U	U	U	A	U	U	U	U	U	U	U	A	P	P	U	U	U	U	U	U	A
AJ582757.1.1553	Desulfosporosinus_lacus	Bacteria	Bacillota	Desulfitobacteriia	Desulfitobacteriales	Desulfitobacteriaceae	Desulfosporosinus	Bacteria;Bacillota;Desulfitobacteriia;Desulfitobacteriales;Desulfitobacteriaceae;Desulfosporosinus;Desulfosporosinus lacus	U	A	A	A	A	A	A	A	U	U	U	U	U	P	A	U	P	P	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	U	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	U	A	U	U	U	U	U	U	U	A	U	U	U	U	U	U	U	A	P	P	U	U	U	U	U	U	A
AF076527.1.1505	Desulfosporosinus_meridiei	Bacteria	Bacillota	Desulfitobacteriia	Desulfitobacteriales	Desulfitobacteriaceae	Desulfosporosinus	Bacteria;Bacillota;Desulfitobacteriia;Desulfitobacteriales;Desulfitobacteriaceae;Desulfosporosinus;Desulfosporosinus meridiei	U	A	A	A	A	A	A	A	U	U	A	A	A	P	P	U	P	P	P	U	U	U	U	U	U	U	P	U	U	U	A	U	U	U	U	P	U	U	U	U	U	U	U	U	A	U	P	U	U	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	P	P	P	U	U	U	U	U	U	U	U	A	U	A	U	U	U	U	U	A	P	P	U	U	U	U	P	A	P
AJ493052.1.1529	Desulfosporosinus_orientis	Bacteria	Bacillota	Desulfitobacteriia	Desulfitobacteriales	Desulfitobacteriaceae	Desulfosporosinus	Bacteria;Bacillota;Desulfitobacteriia;Desulfitobacteriales;Desulfitobacteriaceae;Desulfosporosinus;Desulfosporosinus orientis	U	A	A	A	A	A	A	A	U	U	A	A	A	P	U	U	P	U	P	U	U	U	U	U	U	U	A	U	U	U	A	U	U	U	U	U	A	U	U	U	U	U	U	U	U	U	P	U	U	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	A	A	U	A	U	U	U	U	U	U	U	A	U	A	U	U	U	U	U	U	U	P	U	U	U	U	P	A	P
MG928386.1.1212	Desulfotalea_arctica	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;Desulfotalea arctica	U	A	A	A	A	A	A	A	U	U	A	A	A	P	A	U	A	A	P	U	U	U	U	U	U	U	A	A	U	U	A	U	U	U	U	A	U	U	U	U	U	U	U	U	U	U	P	U	U	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	A	A	U	U	U	U	U	U	U	U	U	A	U	A	U	U	U	U	U	A	P	P	U	U	U	P	P	A	P
AF099062.1.1492	Desulfotalea_psychrophila	Bacteria	Thermodesulfobacteriota	Desulfobulbia	Desulfobulbales	Desulfocapsaceae	Desulfotalea	Bacteria;Thermodesulfobacteriota;Desulfobulbia;Desulfobulbales;Desulfocapsaceae;Desulfotalea;Desulfotalea psychrophila	U	A	A	A	A	A	A	A	U	U	A	A	A	P	A	U	P	P	P	U	U	U	U	U	U	U	A	A	U	U	A	U	U	U	U	A	U	U	U	U	U	U	U	U	U	U	P	U	U	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	A	A	U	U	U	U	U	U	U	U	U	A	U	A	U	U	U	U	U	A	P	P	U	U	U	P	P	A	A
X80922.1.1441	Desulfothermus_naphthae	Bacteria	Thermodesulfobacteriota	Desulfovibrionia	Desulfovibrionales	Desulfonauticaceae	Desulfothermus	Bacteria;Thermodesulfobacteriota;Desulfovibrionia;Desulfovibrionales;Desulfonauticaceae;Desulfothermus;Desulfothermus naphthae	U	A	A	A	A	A	A	A	U	U	A	A	A	P	A	U	A	P	P	U	A	U	U	U	U	U	A	A	U	U	A	U	U	U	U	A	U	U	U	U	U	U	U	U	A	U	A	A	A	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	A	U	A	A	U	U	U	U	U	U	U	A	U	A	U	U	U	U	U	A	A	P	U	U	U	P	P	A	A
AF233370.1.1462	Desulfotignum_balticum	Bacteria	Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae	Desulfotignum	Bacteria;Thermodesulfobacteriota;Desulfobacteria;Desulfobacterales;Desulfobacteraceae;Desulfotignum;Desulfotignum balticum	U	A	A	A	A	A	A	A	U	U	A	A	A	P	A	U	P	P	P	U	A	U	U	U	U	U	A	A	U	U	A	U	U	U	U	A	U	U	U	U	U	U	U	U	A	U	P	U	U	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	A	A	A	A	U	U	U	U	U	U	U	A	U	A	U	U	U	U	U	P	P	P	U	U	U	P	P	A	A
X98407.1.1476	Desulfotomaculum_aeronauticum	Bacteria	Bacillota	Desulfotomaculia	Desulfotomaculales	Desulfotomaculaceae	Desulfotomaculum	Bacteria;Bacillota;Desulfotomaculia;Desulfotomaculales;Desulfotomaculaceae;Desulfotomaculum;Desulfotomaculum aeronauticum	U	A	A	A	A	A	A	A	U	U	A	A	A	P	P	U	P	P	P	U	A	U	U	U	U	U	A	A	U	U	A	P	U	U	U	A	U	U	U	U	U	U	U	U	A	U	U	U	U	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	A	U	A	U	U	U	U	U	U	U	U	A	A	A	A	A	U	U	U	A	P	P	U	U	U	P	P	A	P
KF591693.1.1384	Desulfotomaculum_aquiferis	Bacteria	Bacillota	Desulfotomaculia	Desulfotomaculales	Desulfotomaculaceae	Desulfotomaculum	Bacteria;Bacillota;Desulfotomaculia;Desulfotomaculales;Desulfotomaculaceae;Desulfotomaculum;Desulfotomaculum aquiferis	U	A	A	A	A	A	A	A	U	U	A	A	A	P	P	U	P	P	P	U	A	U	U	U	U	U	A	A	U	U	A	P	U	U	U	A	U	U	U	U	U	U	U	U	A	U	P	U	U	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	A	A	U	A	A	U	U	U	U	U	U	U	A	A	A	A	A	U	U	U	A	P	P	U	U	U	P	P	A	P
AM184185.1.1414	Desulfotomaculum_defluvii	Bacteria	Bacillota	Desulfotomaculia	Desulfotomaculales	Desulfotomaculaceae	Desulfotomaculum	Bacteria;Bacillota;Desulfotomaculia;Desulfotomaculales;Desulfotomaculaceae;Desulfotomaculum;Desulfotomaculum defluvii	U	A	A	A	A	A	A	A	U	U	A	A	A	P	P	U	P	P	P	U	U	U	U	U	U	U	A	U	U	U	A	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	U	U	P	U	U	U	U	U	U	U	A	A	A	A	A	U	U	U	U	P	P	U	U	U	P	P	A	P
KU589293.1.1537	Desulfotomaculum_ferrireducens	Bacteria	Bacillota	Desulfotomaculia	Desulfotomaculales	Desulfotomaculaceae	Desulfotomaculum	Bacteria;Bacillota;Desulfotomaculia;Desulfotomaculales;Desulfotomaculaceae;Desulfotomaculum;Desulfotomaculum ferrireducens	U	A	A	A	A	A	A	A	U	U	A	A	A	P	P	U	P	P	P	U	P	U	U	U	U	U	U	U	U	U	A	P	U	U	U	P	U	U	U	U	U	U	U	U	U	U	P	U	U	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	P	P	P	U	U	U	U	U	U	U	U	A	A	A	A	A	U	U	U	P	P	P	U	U	U	P	P	A	P
EF081293.1.1564	Desulfotomaculum_hydrothermale	Bacteria	Bacillota	Desulfotomaculia	Desulfotomaculales	Desulfotomaculaceae	Desulfotomaculum	Bacteria;Bacillota;Desulfotomaculia;Desulfotomaculales;Desulfotomaculaceae;Desulfotomaculum;Desulfotomaculum hydrothermale	U	A	A	A	A	A	A	A	U	U	A	A	A	P	P	U	P	P	P	U	P	P	U	U	U	U	U	U	U	U	A	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	U	U	A	A	A	A	A	U	U	U	A	P	P	U	U	U	P	P	A	P
X62176.1.1431	Desulfotomaculum_nigrificans	Bacteria	Bacillota	Desulfotomaculia	Desulfotomaculales	Desulfotomaculaceae	Desulfotomaculum	Bacteria;Bacillota;Desulfotomaculia;Desulfotomaculales;Desulfotomaculaceae;Desulfotomaculum;Desulfotomaculum nigrificans	U	A	A	A	A	A	A	A	U	U	A	A	A	P	P	U	P	P	P	U	U	U	U	U	U	U	U	U	U	U	A	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	A	A	A	A	P	U	U	A	P	P	U	U	U	P	P	A	P
KF591694.1.1456	Desulfotomaculum_profundi	Bacteria	Bacillota	Desulfotomaculia	Desulfotomaculales	Desulfotomaculaceae	Desulfotomaculum	Bacteria;Bacillota;Desulfotomaculia;Desulfotomaculales;Desulfotomaculaceae;Desulfotomaculum;Desulfotomaculum profundi	U	A	A	A	A	A	A	A	U	U	A	A	A	P	P	U	P	P	P	U	A	U	U	U	U	U	U	U	U	U	A	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	A	A	A	A	U	U	U	A	P	P	U	U	U	P	P	A	P
AF053929.1.1361	Desulfotomaculum_putei	Bacteria	Bacillota	Desulfotomaculia	Desulfotomaculales	Desulfotomaculaceae	Desulfotomaculum	Bacteria;Bacillota;Desulfotomaculia;Desulfotomaculales;Desulfotomaculaceae;Desulfotomaculum;Desulfotomaculum putei	U	A	A	A	A	A	A	A	U	U	A	A	A	P	P	U	P	P	P	U	A	U	U	U	U	U	A	A	U	U	A	P	U	U	U	A	U	U	U	U	U	U	U	U	A	U	P	U	U	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	A	U	A	A	U	U	U	U	U	U	U	A	A	A	A	A	U	U	U	A	P	P	U	U	U	P	P	A	P
Y11572.1.1519	Desulfotomaculum_ruminis	Bacteria	Bacillota	Desulfotomaculia	Desulfotomaculales	Desulfotomaculaceae	Desulfotomaculum	Bacteria;Bacillota;Desulfotomaculia;Desulfotomaculales;Desulfotomaculaceae;Desulfotomaculum;Desulfotomaculum ruminis	U	A	A	A	A	A	A	A	U	U	A	A	A	P	P	U	P	P	P	U	A	U	U	U	U	U	A	A	U	U	A	P	U	U	U	A	U	U	U	U	U	U	U	U	A	U	P	U	U	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	A	U	A	A	U	U	U	U	U	U	U	A	A	A	A	A	U	U	U	A	P	P	U	U	U	P	P	A	P
AY918122.1.1529	Desulfotomaculum_salinum	Bacteria	Bacillota	Desulfotomaculia	Desulfotomaculales	Desulfurisporaceae	Desulfofundulus	Bacteria;Bacillota;Desulfotomaculia;Desulfotomaculales;Desulfurisporaceae;Desulfofundulus;Desulfotomaculum salinum	U	A	A	A	A	A	A	A	U	U	U	U	U	P	P	U	P	P	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P
GU126374.1.1482	Desulfotomaculum_varum	Bacteria	Bacillota	Desulfotomaculia	Desulfotomaculales	Desulfotomaculaceae	Desulfotomaculum	Bacteria;Bacillota;Desulfotomaculia;Desulfotomaculales;Desulfotomaculaceae;Desulfotomaculum;Desulfotomaculum varum	U	A	A	A	A	A	A	A	U	U	A	A	A	P	P	U	P	P	P	U	A	U	U	U	U	U	A	U	U	U	A	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	A	U	U	U	U	U	U	U	U	U	U	A	U	A	U	U	U	U	U	A	P	P	U	U	U	P	P	A	P
X99236.1.1510	Desulfovibrio_africanus	Bacteria	Thermodesulfobacteriota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfocurvibacter	Bacteria;Thermodesulfobacteriota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Desulfocurvibacter;Desulfovibrio africanus	U	A	A	A	A	A	A	A	U	U	A	A	A	P	U	U	P	P	P	U	U	U	U	U	U	U	A	U	U	U	A	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	A	U	U	U	U	U	U	U	U	U	A	U	A	U	U	U	U	P	U	P	P	U	U	U	P	P	A	P
Y11984.1.1530	Desulfovibrio_alaskensis	Bacteria	Thermodesulfobacteriota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Oleidesulfovibrio	Bacteria;Thermodesulfobacteriota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Oleidesulfovibrio;Desulfovibrio alaskensis	U	A	A	A	A	A	A	A	U	U	A	A	A	P	U	U	P	P	P	U	U	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	U	A	U	U	U	U	P	U	P	P	U	U	U	P	P	A	U
KF536740.1.1486	Desulfovibrio_aminophilus	Bacteria	Thermodesulfobacteriota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Humidesulfovibrio	Bacteria;Thermodesulfobacteriota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Humidesulfovibrio;Desulfovibrio aminophilus	U	A	A	A	A	A	A	A	U	U	A	A	A	P	U	U	P	P	P	U	U	U	U	U	U	U	U	U	U	U	A	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	P	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	U	U	U	U	A	U	A	U	U	U	U	P	U	P	P	U	U	U	P	P	A	U
DQ296030.1.1425	Desulfovibrio_arcticus	Bacteria	Thermodesulfobacteriota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Humidesulfovibrio	Bacteria;Thermodesulfobacteriota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Humidesulfovibrio;Desulfovibrio arcticus	U	A	A	A	A	A	A	A	U	U	A	A	A	P	P	U	P	P	P	U	U	U	U	U	U	U	U	U	U	U	A	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	P	U	U	U	U	U	U	U	U	U	U	U	A	U	A	U	U	U	U	P	A	P	P	U	U	U	P	P	A	P
AF053752.1.1540	Desulfovibrio_burkinensis	Bacteria	Thermodesulfobacteriota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Solidesulfovibrio	Bacteria;Thermodesulfobacteriota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Solidesulfovibrio;Desulfovibrio burkinensis	U	A	A	A	A	A	A	A	U	U	A	A	A	P	P	U	U	P	P	U	U	U	U	U	U	U	A	U	U	U	A	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	A	A	U	U	U	U	U	U	U	U	U	A	U	A	U	U	U	U	U	U	P	P	U	U	U	U	P	A	P
AB303305.1.1450	Desulfovibrio_butyratiphilus	Bacteria	Thermodesulfobacteriota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Fundidesulfovibrio	Bacteria;Thermodesulfobacteriota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Fundidesulfovibrio;Desulfovibrio butyratiphilus	U	A	A	A	A	A	A	A	U	U	A	A	A	P	U	U	A	P	P	U	U	U	U	U	U	U	U	U	U	U	A	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	U	A	U	U	U	U	P	A	P	P	U	U	U	P	P	A	U
AY626035.1.1510	Desulfovibrio_carbinolicus	Bacteria	Thermodesulfobacteriota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Solidesulfovibrio	Bacteria;Thermodesulfobacteriota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Solidesulfovibrio;Desulfovibrio carbinolicus	U	A	A	A	A	A	A	A	P	P	A	A	A	P	P	U	U	P	P	U	U	U	U	U	U	U	A	A	U	U	A	P	U	U	U	A	U	U	U	U	U	U	U	U	U	U	P	U	U	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	A	U	A	U	U	U	U	U	U	U	A	U	A	U	U	U	U	U	U	U	P	U	U	U	U	P	A	P
AJ621885.1.1488	Desulfovibrio_cavernae	Bacteria	Thermodesulfobacteriota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Humidesulfovibrio	Bacteria;Thermodesulfobacteriota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Humidesulfovibrio;Desulfovibrio cavernae	U	A	A	A	A	A	A	A	U	U	A	A	A	P	P	U	P	P	P	U	U	U	U	U	U	U	U	U	U	U	A	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	P	P	U	U	U	U	U	U	U	U	A	U	A	U	U	U	U	P	A	P	P	U	U	U	P	P	A	P
X99503.1.1507	Desulfovibrio_cuneatus	Bacteria	Thermodesulfobacteriota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Bacteria;Thermodesulfobacteriota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;Desulfovibrio cuneatus	U	A	A	A	A	A	A	A	U	U	A	A	A	P	P	P	P	P	P	U	U	U	U	U	U	U	U	U	U	U	A	P	U	U	U	U	U	U	U	U	U	U	P	U	U	U	P	U	U	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	U	A	U	U	U	U	P	A	P	P	U	U	U	P	P	A	P
HQ591418.1.1501	Desulfovibrio_desulfuricans	Bacteria	Thermodesulfobacteriota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Bacteria;Thermodesulfobacteriota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;Desulfovibrio desulfuricans	U	A	A	A	A	A	A	A	U	U	A	A	A	P	U	U	P	P	P	U	U	U	U	U	U	U	U	U	U	U	A	P	U	P	P	P	U	U	U	U	U	U	U	U	U	U	P	U	U	A	U	U	U	U	U	U	U	U	U	P	P	P	P	U	U	U	U	U	U	U	U	P	P	P	P	P	U	U	U	U	U	U	U	A	U	A	U	U	P	U	P	A	P	P	U	U	U	P	P	A	U
CP014229.161956.163509	Desulfovibrio_fairfieldensis	Bacteria	Thermodesulfobacteriota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Bacteria;Thermodesulfobacteriota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;Desulfovibrio fairfieldensis	U	A	A	A	A	A	A	A	U	U	A	A	A	P	U	U	P	U	P	U	U	U	U	U	U	U	U	U	U	U	A	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	A	U	U	U	U	U	U	U	U	U	P	P	P	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	U	A	U	U	U	U	P	A	P	P	U	U	U	P	P	A	U
U31080.1.1417	Desulfovibrio_gabonensis	Bacteria	Thermodesulfobacteriota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Oceanidesulfovibrio	Bacteria;Thermodesulfobacteriota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Oceanidesulfovibrio;Desulfovibrio gabonensis	U	A	A	A	A	A	A	A	U	U	A	A	A	P	P	U	P	P	P	U	U	U	U	U	U	U	U	U	U	U	A	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	A	U	A	U	U	U	U	P	A	P	P	U	U	U	P	P	A	P
FR749898.1.1541	Desulfovibrio_giganteus	Bacteria	Thermodesulfobacteriota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Bacteria;Thermodesulfobacteriota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;Desulfovibrio giganteus	U	A	A	A	A	A	A	A	U	U	A	A	A	P	U	U	P	P	P	U	U	U	U	U	U	U	U	U	U	U	A	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	U	A	U	U	U	U	P	A	P	P	U	U	U	P	P	A	U
